18 1690409847 0,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409848 0,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409849 0,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409850 0,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409851 0,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409852 1,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409853 1,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409854 1,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409855 1,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409856 1,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409857 1,200000 -1,000000 -101,000000 0,000000 0,000000
18 1690409858 1,200000 -1,000000 -101,000000 0,000000 0,000000
18 1690409859 1,200000 -1,000000 -101,000000 0,000000 0,000000
42 1690409857 0,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409858 0,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409859 0,800000 -1,000000 -101,000000 0,000000 0,000000
18 1690409860 1,200000 -1,000000 -101,000000 0,000000 0,000000
18 1690409861 1,200000 -1,000000 -101,000000 0,000000 0,000000
18 1690409862 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409863 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409864 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409860 0,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409861 0,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409862 0,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409863 0,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409864 0,800000 -1,000000 -101,000000 0,000000 0,000000
18 1690409865 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409866 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409867 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409868 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409869 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409865 0,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409866 0,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409867 1,200000 -1,000000 -101,000000 0,000000 0,000000
42 1690409868 1,200000 -1,000000 -101,000000 0,000000 0,000000
42 1690409869 1,200000 -1,000000 -101,000000 0,000000 0,000000
18 1690409870 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409871 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409872 2,800000 -1,000000 -101,000000 0,000000 0,000000
18 1690409873 2,800000 -1,000000 -101,000000 0,000000 0,000000
18 1690409874 2,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409870 1,200000 -1,000000 -101,000000 0,000000 0,000000
42 1690409871 1,200000 -1,000000 -101,000000 0,000000 0,000000
42 1690409872 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409873 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409874 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409875 2,800000 -1,000000 -101,000000 0,000000 0,000000
18 1690409876 2,800000 -1,000000 -101,000000 0,000000 0,000000
18 1690409877 2,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409878 2,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409879 2,000000 -1,000000 -101,000000 0,000000 0,000000
42 1690409875 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409876 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409877 2,400000 -1,000000 -101,000000 0,000000 0,000000
42 1690409878 2,400000 -1,000000 -101,000000 0,000000 0,000000
42 1690409879 2,400000 -1,000000 -101,000000 0,000000 0,000000
18 1690409880 2,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409881 2,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409882 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409883 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409884 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409880 2,400000 -1,000000 -101,000000 0,000000 0,000000
42 1690409881 2,400000 -1,000000 -101,000000 0,000000 0,000000
42 1690409882 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409883 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409884 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409885 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409886 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409887 2,800000 -1,000000 -101,000000 0,000000 0,000000
18 1690409888 2,800000 -1,000000 -101,000000 0,000000 0,000000
18 1690409889 2,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409885 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409886 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409887 2,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409888 2,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409889 2,800000 -1,000000 -101,000000 0,000000 0,000000
18 1690409890 2,800000 -1,000000 -101,000000 0,000000 0,000000
18 1690409891 2,800000 -1,000000 -101,000000 0,000000 0,000000
18 1690409892 2,400000 -1,000000 -101,000000 0,000000 0,000000
18 1690409893 2,400000 -1,000000 -101,000000 0,000000 0,000000
18 1690409894 2,400000 -1,000000 -101,000000 0,000000 0,000000
42 1690409890 2,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409891 2,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409892 2,400000 -1,000000 -101,000000 0,000000 0,000000
42 1690409893 2,400000 -1,000000 -101,000000 0,000000 0,000000
42 1690409894 2,400000 -1,000000 -101,000000 0,000000 0,000000
18 1690409895 2,400000 -1,000000 -101,000000 0,000000 0,000000
18 1690409896 2,400000 -1,000000 -101,000000 0,000000 0,000000
18 1690409897 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409898 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409899 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409895 2,400000 -1,000000 -101,000000 0,000000 0,000000
42 1690409896 2,400000 -1,000000 -101,000000 0,000000 0,000000
42 1690409897 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409898 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409899 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409900 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409901 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409902 2,400000 -1,000000 -101,000000 0,000000 0,000000
18 1690409903 2,400000 -1,000000 -101,000000 0,000000 0,000000
18 1690409904 2,400000 -1,000000 -101,000000 0,000000 0,000000
42 1690409900 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409901 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409902 2,400000 -1,000000 -101,000000 0,000000 0,000000
42 1690409903 2,400000 -1,000000 -101,000000 0,000000 0,000000
42 1690409904 2,400000 -1,000000 -101,000000 0,000000 0,000000
18 1690409905 2,400000 -1,000000 -101,000000 0,000000 0,000000
18 1690409906 2,400000 -1,000000 -101,000000 0,000000 0,000000
18 1690409907 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409908 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409909 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409905 2,400000 -1,000000 -101,000000 0,000000 0,000000
42 1690409906 2,400000 -1,000000 -101,000000 0,000000 0,000000
42 1690409907 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409908 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409909 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409910 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409911 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409912 2,200000 -1,000000 -101,000000 0,000000 0,000000
18 1690409913 2,200000 -1,000000 -101,000000 0,000000 0,000000
18 1690409914 2,200000 -1,000000 -101,000000 0,000000 0,000000
42 1690409910 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409911 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409912 2,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409913 2,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409914 2,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409915 2,200000 -1,000000 -101,000000 0,000000 0,000000
18 1690409916 2,200000 -1,000000 -101,000000 0,000000 0,000000
18 1690409917 2,400000 -1,000000 -101,000000 0,000000 0,000000
18 1690409918 2,400000 -1,000000 -101,000000 0,000000 0,000000
18 1690409919 2,400000 -1,000000 -101,000000 0,000000 0,000000
42 1690409915 2,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409916 2,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409917 2,000000 -1,000000 -101,000000 0,000000 0,000000
42 1690409918 2,000000 -1,000000 -101,000000 0,000000 0,000000
42 1690409919 2,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409920 2,400000 -1,000000 -101,000000 0,000000 0,000000
18 1690409921 2,400000 -1,000000 -101,000000 0,000000 0,000000
18 1690409922 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409923 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409924 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409920 2,000000 -1,000000 -101,000000 0,000000 0,000000
42 1690409921 2,000000 -1,000000 -101,000000 0,000000 0,000000
42 1690409922 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409923 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409924 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409925 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409926 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409927 2,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409928 2,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409929 2,000000 -1,000000 -101,000000 0,000000 0,000000
42 1690409925 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409926 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409927 2,000000 -1,000000 -101,000000 0,000000 0,000000
42 1690409928 2,000000 -1,000000 -101,000000 0,000000 0,000000
42 1690409929 2,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409930 2,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409931 2,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409932 2,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409933 2,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409934 2,000000 -1,000000 -101,000000 0,000000 0,000000
42 1690409930 2,000000 -1,000000 -101,000000 0,000000 0,000000
42 1690409931 2,000000 -1,000000 -101,000000 0,000000 0,000000
42 1690409932 2,000000 -1,000000 -101,000000 0,000000 0,000000
42 1690409933 2,000000 -1,000000 -101,000000 0,000000 0,000000
42 1690409934 2,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409935 2,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409936 2,000000 -1,000000 -101,000000 0,000000 0,000000
18 1690409937 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409938 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409939 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409935 2,000000 -1,000000 -101,000000 0,000000 0,000000
42 1690409936 2,000000 -1,000000 -101,000000 0,000000 0,000000
42 1690409937 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409938 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409939 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409940 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409941 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409942 2,800000 -1,000000 -101,000000 0,000000 0,000000
18 1690409943 2,800000 -1,000000 -101,000000 0,000000 0,000000
18 1690409944 2,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409940 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409941 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409942 2,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409943 2,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409944 2,800000 -1,000000 -101,000000 0,000000 0,000000
18 1690409945 2,800000 -1,000000 -101,000000 0,000000 0,000000
18 1690409946 2,800000 -1,000000 -101,000000 0,000000 0,000000
18 1690409947 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409948 1,600000 -1,000000 -101,000000 0,000000 0,000000
18 1690409949 1,600000 -1,000000 -101,000000 0,000000 0,000000
42 1690409945 2,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409946 2,800000 -1,000000 -101,000000 0,000000 0,000000
42 1690409947 1,600000 -1,000000 -101,000000 0,000000 0,000000
